Partido,Silenciosa,Boomers,GenX,Millenials,Total
MORENA,6,85,111,48,250
PAN,1,18,40,19,78
PRI,1,21,22,4,48
PT,0,21,20,4,45
MC,0,4,15,6,25
PES,0,5,13,6,24
PRD,0,3,7,2,12
PVEM,0,1,8,2,11
SinPartido,0,0,3,1,4
,8,158,239,92,497
