inic_edo,nom_edo,Nombre,UltimoGradoEstudios,TipoLegislacion,tipoEleccion,FechaNacimiento,estado,entidad,Reeleccion,Partido,PreparacionAcademica,,,,
egr_tamaulipas,erasmogonzalezrobledo_tamaulipas,Erasmo Gonzalez Robledo,Maestría,Diputado Propietario,Mayoria Relativa,28/06/1972,Tamaulipas,Distrito:7,SI,MORENA,Ciencias políticas y sociales,,,,
eime_baja california,erikisaacmoraleselvira_baja california,Erik Isaac Morales Elvira,No disponible,Diputado Propietario,Mayoria Relativa,01/09/1976,Baja California,Distrito:7,SI,MORENA,,,,,
emru_sinaloa,erikamarianarosasuribe_sinaloa,Erika Mariana Rosas Uribe,Licenciatura,Diputada Propietario,Representacion proporcional,09/01/1984,Sinaloa,Circunscripcion:1,SI,MORENA,Comunicación,,,,
evdci_ciudad de mexico,erikavanessadelcastilloibarra_ciudad de mexico,Erika Vanessa Del Castillo Ibarra,Licenciatura,Diputada Propietario,Mayoria Relativa,10/06/1978,Ciudad de Mexico,Distrito:1,SI,MORENA,Ciencias políticas y sociales,,,,
earl_nuevo leon,ernestoalfonsorobledoleal_nuevo leon,Ernesto Alfonso Robledo Leal,Doctorado,Diputado Propietario,Mayoria Relativa,06/06/1976,Nuevo Leon,Distrito:11,SI,PAN,,,,,
egra_baja california,ernestoguillermoruffoappel_baja california,Ernesto Ruffo Appel,Licenciatura,Diputado Propietario,Representacion proporcional,25/06/1952,Baja California,Circunscripcion:1,NO,PAN,Administración y contaduría,,,,
ejna_mexico,ernestojaviernemeralvarez_mexico,Ernesto Javier Nemer Alvarez,Licenciatura,Diputado Propietario,Representacion proporcional,17/07/1961,Mexico,Circunscripcion:5,NO,PRI,,,,,
evc_nuevo leon,ernestovargascontreras_nuevo leon,Ernesto Vargas Contreras,Pasante/Licenciatura trunca,Diputada Propietario,Mayoria Relativa,06/03/1977,Nuevo Leon,Distrito:8,NO,PES,,,,,
edlamm_mexico,esmeraldadelosangelesmorenomedina_mexico,Esmeralda de los Angeles Moreno Medina,Maestría,Diputada Propietario,Mayoria Relativa,19/12/1986,Mexico,Distrito:26,SI,PES,Derecho,,,,
ebb_michoacan,estebanbarajasbarajas_michoacan,Esteban Barajas Barajas,Licenciatura,Diputado Propietario,Mayoria Relativa,20/01/1959,Michoacan,Distrito:2,SI,MORENA,Ciencias políticas y sociales,,,,
ena_tabasco,estelanunezalvarez_tabasco,Estela Nuñez Alvarez,Licenciatura,Diputada Propietario,Mayoria Relativa,16/08/1956,Tabasco,Distrito:1,SI,MORENA,Ciencias de la educación,,,,
ejrf_veracruz,eulaliojuanriosfararoni_veracruz,Eulalio Juan Rios Fararoni,Licenciatura,Diputado Propietario,Mayoria Relativa,18/04/1965,Veracruz,Distrito:20,SI,MORENA,,,,,
elpr_coahuila,evaristoleninperezrivera_coahuila,Evaristo Lenin Perez Rivera,Maestría,Diputado Propietario,Mayoria Relativa,28/10/1966,Coahuila,Distrito:1,SI,SinPartido,Comunicación,,,,
frglh_jalisco,fabiolaraquelguadalupeloyahernandez_jalisco,Fabiola Raquel Guadalupe Loya Hernandez,Licenciatura,Diputada Propietario,Mayoria Relativa,05/11/1974,Jalisco,Distrito:6,SI,MC,Administración y contaduría,,,,
ffa_michoacan,felicianofloresanguiano_michoacan,Feliciano Flores Anguiano,Pasante/Licenciatura trunca,Diputado Propietario,Mayoria Relativa,28/05/1971,Michoacan,Distrito:1,SI,MORENA,Ciencias de la educación,,,,
ffmo_queretaro,felipefernandomaciasolvera_queretaro,Felipe Fernando Macias Olvera,Maestría,Diputado Propietario,Mayoria Relativa,04/04/1986,Queretaro,Distrito:4,SI,PAN,Ciencias políticas y sociales,,,,
fradll_mexico,feliperafaelarvizudelaluz_mexico,Felipe Rafael Arvizu De La Luz,Maestría,Diputado Propietario,Mayoria Relativa,09/09/1974,Mexico,Distrito:12,SI,MORENA,Administración y contaduría,,,,
fddlfh_coahuila,fernandodonatodelasfuenteshernandez_coahuila,Fernando Donato De las Fuentes Hernandez,Licenciatura,Diputado Propietario,Mayoria Relativa,07/08/1960,Coahuila,Distrito:7,SI,PRI,,,,,
fgf_ciudad de mexico,fernandogalindofavela_ciudad de mexico,Fernando Galindo Favela,Licenciatura,Diputado Propietario,Representacion proporcional,06/05/1978,Ciudad de Mexico,Circunscripcion:4,SI,PRI,Económico-financiera,,,,
flmp_puebla,fernandoluismanzanillaprieto_puebla,Fernando Luis Manzanilla Prieto,Maestría,Diputado Propietario,Mayoria Relativa,10/05/1968,Puebla,Distrito:12,SI,PES,Ciencias políticas y sociales,,,,
ftg_guanajuato,fernandotorresgraciano_guanajuato,Fernando Torres Graciano,Maestría,Diputado Propietario,Representacion proporcional,27/08/1970,Guanajuato,Circunscripcion:2,SI,PAN,Derecho,,,,
fimm_ciudad de mexico,florivonemoralesmiranda_ciudad de mexico,Flor Ivone Morales Miranda,Maestría,Diputada Propietario,Mayoria Relativa,05/10/1968,Ciudad de Mexico,Distrito:21,NO,MORENA,,,,,
ftcs_veracruz,florataniacruzsantos_veracruz,Flora Tania Cruz Santos,Maestría,Diputada Propietario,Mayoria Relativa,27/01/1978,Veracruz,Distrito:11,SI,MORENA,Ciencias de la educación,,,,
frc_hidalgo,fortunatoriveracastillo_hidalgo,Fortunato Rivera Castillo,Licenciatura,Diputado Propietario,Mayoria Relativa,17/11/1955,Hidalgo,Distrito:1,SI,MORENA,Otra,,,,
feg_nuevo leon,franciscoelizondogarrido_nuevo leon,Francisco Elizondo Garrido,Maestría,Diputado Propietario,Representacion proporcional,17/01/1982,Nuevo Leon,Circunscripcion:2,SI,MORENA,Derecho,,,,
ffp_mexico,franciscofavelapenunuri_mexico,Francisco Favela Peñuñuri,Licenciatura,Diputado Propietario,Mayoria Relativa,15/04/1955,Mexico,Distrito:5,SI,PT,Ciencias de la salud,,,,
fjba_coahuila,franciscojavierborregoadame_coahuila,Francisco Javier Borrego Adame,Técnico,Diputado Propietario,Mayoria Relativa,27/12/1954,Coahuila,Distrito:2,SI,MORENA,Administración y contaduría,,,,
fjgdlt_jalisco,franciscojavierguzmandelatorre_jalisco,Francisco Javier Guzman De La Torre,Secundaria,Diputado Propietario,Representacion proporcional,29/08/1944,Jalisco,Circunscripcion:1,SI,MORENA,,,,,
fjhe_michoacan,franciscojavierhuacusesquivel_michoacan,Francisco Javier Huacus Esquivel,Licenciatura,Diputado Propietario,Mayoria Relativa,26/08/1986,Michoacan,Distrito:12,SI,PT,,,,,
fjln_aguascalientes,franciscojavierluevanonunez_aguascalientes,Francisco Javier Luevano Nuñez,Pasante/Licenciatura trunca,Diputado Propietario,Mayoria Relativa,01/07/1979,Aguascalientes,Distrito:1,SI,PAN,Arquitectura y diseño,,,,
fjrn_mexico,franciscojavierramireznavarrete_mexico,Francisco Javier Ramirez Navarrete,Licenciatura,Diputado Propietario,Representacion proporcional,03/01/1988,Mexico,Circunscripcion:5,SI,MORENA,Otra,,,,
fjsc_ciudad de mexico,franciscojaviersaldivarcamacho_ciudad de mexico,Francisco Javier Saldivar Camacho,Pasante/Licenciatura trunca,Diputado Propietario,Mayoria Relativa,12/03/1967,Ciudad de Mexico,Distrito:17,SI,PES,Administración y contaduría,,,,
faem_zacatecas,fridaalejandraesparzamarquez_zacatecas,Frida Alejandra Esparza Marquez,Licenciatura,Diputada Propietario,Representacion proporcional,05/11/1996,Zacatecas,Circunscripcion:2,SI,PRD,Humanidades,,,,
fay_san luis potosi,frinneazuarayarzabal_san luis potosi,Frinne Azuara Yarzabal,Maestría,Diputada Propietario,Representacion proporcional,03/03/1956,San Luis Potosi,Circunscripcion:2,SI,PRI,Ciencias de la salud,,,,
gcb_ciudad de mexico,gabrielacuevasbarron_ciudad de mexico,Gabriela Cuevas Barron,Pasante/Licenciatura trunca,Diputada Propietario,Representacion proporcional,03/04/1979,Ciudad de Mexico,Circunscripcion:4,NO,MORENA,Ciencias políticas y sociales,,,,
gihv_jalisco,geraldinaisabelherreravega_jalisco,Geraldina Isabel Herrera Vega,Licenciatura,Diputada Propietario,Mayoria Relativa,24/04/1963,Jalisco,Distrito:10,SI,MC,Económico-financiera,,,,
gfn_ciudad de mexico,gerardofernandeznorona_ciudad de mexico,Gerardo Fernandez Noroña,Licenciatura,Diputado Propietario,Mayoria Relativa,19/03/1960,Ciudad de Mexico,Distrito:4,SI,PT,Ciencias políticas y sociales,,,,
grl_hidalgo,gloriaromeroleon_hidalgo,Gloria Romero Leon,Maestría,Diputada Propietario,Representacion proporcional,25/01/1964,Hidalgo,Circunscripcion:5,SI,PAN,Ciencias políticas y sociales,,,,
ghp_michoacan,gonzaloherreraperez_michoacan,Gonzalo Herrera Perez,Licenciatura,Diputado Propietario,Mayoria Relativa,07/07/1955,Michoacan,Distrito:7,SI,MORENA,,,,,
gso_mexico,gracielasanchezortiz_mexico,Graciela Sanchez Ortiz,Licenciatura,Diputada Propietario,Mayoria Relativa,18/02/1959,Mexico,Distrito:21,SI,MORENA,Ciencias políticas y sociales,,,,
gzs_oaxaca,gracielazavaletasanchez_oaxaca,Graciela Zavaleta Sanchez,Primaria,Diputada Propietario,Representacion proporcional,23/12/1946,Oaxaca,Circunscripcion:3,SI,MORENA,,,,,
geem_tabasco,gregorioefrainespadasmendez_tabasco,Gregorio Efrain Espadas Mendez,Licenciatura,Diputado Propietario,Mayoria Relativa,26/10/1948,Tabasco,Distrito:3,NO,MORENA,,,,,
grs_ciudad de mexico,guadaluperamossotelo_ciudad de mexico,Guadalupe Ramos Sotelo,Técnico,Diputada Propietario,Mayoria Relativa,01/02/1974,Ciudad de Mexico,Distrito:24,SI,MORENA,Ciencias de la salud,,,,
grr_jalisco,guadaluperomoromo_jalisco,Guadalupe Romo Romo,Secundaria,Diputado Propietario,Mayoria Relativa,22/03/1962,Jalisco,Distrito:3,SI,PAN,,,,,
gcm_mexico,gustavocontrerasmontes_mexico,Gustavo Contreras Montes,Pasante/Licenciatura trunca,Diputado Propietario,Mayoria Relativa,11/06/1980,Mexico,Distrito:8,SI,MORENA,Administración y contaduría,,,,
hgdjjym_puebla,hectorguillermodejesusjimenezymeneses_puebla,Hector Guillermo de Jesus Jimenez y Meneses,Licenciatura,Diputado Propietario,Mayoria Relativa,24/11/1945,Puebla,Distrito:13,SI,MORENA,,,,,
hjvg_tamaulipas,hectorjoelvillegasgonzalez_tamaulipas,Hector Joel Villegas Gonzalez,Licenciatura,Diputado Propietario,Mayoria Relativa,09/05/1979,Tamaulipas,Distrito:3,SI,PES,,,,,
hrca_baja california,hectorrenecruzaparicio_baja california,Hector Rene Cruz Aparicio,Maestría,Diputado Propietario,Mayoria Relativa,27/12/1982,Baja California,Distrito:8,SI,PES,,,,,
hsc_ciudad de mexico,hectorserranocortes_ciudad de mexico,Hector Serrano Cortes,Maestría,Diputado Propietario,Representacion proporcional,22/04/1962,Ciudad de Mexico,Circunscripcion:4,SI,PT,Derecho,,,,
hyl_veracruz,hectoryuneslanda_veracruz,Hector Yunes Landa,Maestría,Diputado Propietario,Representacion proporcional,27/10/1958,Veracruz,Circunscripcion:3,SI,PRI,,,,,
hmac_sonora,heribertomarceloaguilarcastillo_sonora,Heriberto Marcelo Aguilar Castillo,Licenciatura,Diputado Propietario,Mayoria Relativa,12/02/1975,Sonora,Distrito:4,SI,MORENA,Ingeniería,,,,
hsw_nuevo leon,hernansalinaswolberg_nuevo leon,Hernan Salinas Wolberg,Maestría,Diputado Propietario,Mayoria Relativa,01/04/1982,Nuevo Leon,Distrito:1,SI,PAN,Ciencias políticas y sociales,,,,
hpon_durango,hildapatriciaorteganajera_durango,Hilda Patricia Ortega Najera,Licenciatura,Diputada Propietario,Mayoria Relativa,10/08/1966,Durango,Distrito:4,SI,MORENA,Ciencias de la educación,,,,
hgm_sonora,hildelisagonzalezmorales_sonora,Hildelisa Gonzalez Morales,Profesor Normalista,Diputada Propietario,Mayoria Relativa,22/12/1956,Sonora,Distrito:7,SI,PT,,,,,
hmm_michoacan,hirepanmayamartinez_michoacan,Hirepan Maya Martinez,Secundaria,Diputado Propietario,Representacion proporcional,02/12/1977,Michoacan,Circunscripcion:5,SI,MORENA,,,,,
hdo_mexico,horacioduarteolivares_mexico,Horacio Duarte Olivares,Maestría,Diputado Propietario,Representacion proporcional,05/11/1971,Mexico,Circunscripcion:5,NO,MORENA,,,,,
hmlnq_jalisco,hortensiamarialuisanoronaquezada_jalisco,Hortensia Maria Luisa Noroña Quezada,Pasante/Licenciatura trunca,Diputada Propietario,Representacion proporcional,19/10/1976,Jalisco,Circunscripcion:1,SI,PRI,,,,,
hrrl_hidalgo,hugorafaelruizlustre_hidalgo,Hugo Rafael Ruiz Lustre,Maestría,Diputado Propietario,Representacion proporcional,22/08/1965,Hidalgo,Circunscripcion:5,SI,MORENA,Otra,,,,
hpm_chiapas,humbertopedreromoreno_chiapas,Humberto Pedrero Moreno,Licenciatura,Diputado Propietario,Mayoria Relativa,26/05/1986,Chiapas,Distrito:2,NO,MORENA,,,,,
irm_guerrero,idaliareyesmiguel_guerrero,Idalia Reyes Miguel,Maestría,Diputada Propietario,Representacion proporcional,15/08/1976,Guerrero,Circunscripcion:4,SI,MORENA,Ciencias de la educación,,,,
ibce_michoacan,ignaciobenjamincamposequihua_michoacan,Ignacio Benjamin Campos Equihua,Maestría,Diputado Propietario,Mayoria Relativa,12/05/1973,Michoacan,Distrito:9,SI,MORENA,,,,,
ivs_colima,indiravizcainosilva_colima,Indira Vizcaino Silva,Licenciatura,Diputada Propietario,Mayoria Relativa,14/01/1987,Colima,Distrito:2,NO,MORENA,,,,,
ipj_puebla,inesparrajuarez_puebla,Ines Parra Juarez,Licenciatura,Diputada Propietario,Mayoria Relativa,20/04/1978,Puebla,Distrito:4,SI,MORENA,Ciencias de la educación,,,,
ism_oaxaca,iransantiagomanuel_oaxaca,Iran Santiago Manuel,Maestría,Diputado Propietario,Representacion proporcional,04/03/1985,Oaxaca,Circunscripcion:3,SI,MORENA,Ciencias de la educación,,,,
idcbd_campeche,irasemadelcarmenbuenfildiaz_campeche,Irasema del Carmen Buenfil Diaz,Licenciatura,Diputada Propietario,Mayoria Relativa,22/08/1958,Campeche,Distrito:2,SI,PES,Ciencias de la educación,,,,
ime_oaxaca,irineomolinaespinoza_oaxaca,Irineo Molina Espinoza,Licenciatura,Diputado Propietario,Mayoria Relativa,13/06/1976,Oaxaca,Distrito:1,NO,MORENA,Otra,,,,
ijc_oaxaca,irmajuancarlos_oaxaca,Irma Juan Carlos,Maestría,Diputada Propietario,Mayoria Relativa,19/07/1977,Oaxaca,Distrito:2,SI,MORENA,Otra,,,,
imtv_sonora,irmamariateranvillalobos_sonora,Irma Maria Teran Villalobos,Licenciatura,Diputada Propietario,Representacion proporcional,12/11/1985,Sonora,Circunscripcion:1,SI,PES,Comunicación,,,,
imgv_nuevo leon,isabelmargaritaguerravillarreal_nuevo leon,Isabel Margarita Guerra Villarreal,Maestría,Diputada Propietario,Representacion proporcional,22/09/1975,Nuevo Leon,Circunscripcion:2,SI,PAN,Ciencias de la educación,,,,
igc_baja california sur,isaiasgonzalezcuevas_baja california sur,Isaias Gonzalez Cuevas,Secundaria,Diputado Propietario,Representacion proporcional,06/07/1940,Baja California Sur,Circunscripcion:1,NO,PRI,,,,,
iahd_durango,ismaelalfredohernandezderas_durango,Ismael Alfredo Hernandez Deras,Licenciatura,Diputado Propietario,Representacion proporcional,20/02/1964,Durango,Circunscripcion:1,SI,PRI,Administración y contaduría,,,,
itbp_jalisco,itzcoatltonatiuhbravopadilla_jalisco,Itzcoatl Tonatiuh Bravo Padilla,Doctorado,Diputado Propietario,Representacion proporcional,07/02/1960,Jalisco,Circunscripcion:1,SI,MC,,,,,
iapnr_michoacan,ivanarturopereznegronruiz_michoacan,Ivan Arturo Perez Negron ,Doctorado,Diputado Propietario,Mayoria Relativa,20/07/1974,Michoacan,Distrito:10,NO,MORENA,,,,,
iarr_mexico,ivanarturorodriguezrivera_mexico,Ivan Arturo Rodriguez Rivera,Doctorado,Diputado Propietario,Representacion proporcional,02/05/1974,Mexico,Circunscripcion:5,SI,PAN,,,,,
ilag_nuevo leon,ivonnelilianaalvarezgarcia_nuevo leon,Ivonne Liliana Alvarez Garcia,Licenciatura,Diputada Propietario,Representacion proporcional,25/04/1978,Nuevo Leon,Circunscripcion:2,NO,PRI,,,,,
jdca_mexico,jacobodavidchejaalfaro_mexico,Jacobo David Cheja Alfaro,Licenciatura,Diputado Propietario,Representacion proporcional,08/10/1965,Mexico,Circunscripcion:5,SI,MC,Administración y contaduría,,,,
jmj_zacatecas,jacquelinamartinezjuarez_zacatecas,Jacquelina Martinez Juarez,Licenciatura,Diputada Propietario,Representacion proporcional,26/05/1981,Zacatecas,Circunscripcion:2,SI,PAN,Comunicación,,,,
jhpb_veracruz,jaimehumbertoperezbernabe_veracruz,Jaime Humberto Perez Bernabe,Licenciatura,Diputado Propietario,Mayoria Relativa,15/04/1973,Veracruz,Distrito:6,SI,MORENA,Ingeniería,,,,
jmmc_guanajuato,janetmelaniemurillochavez_guanajuato,Janet Melanie Murillo Chavez,Licenciatura,Diputada Propietario,Mayoria Relativa,02/08/1981,Guanajuato,Distrito:9,NO,PAN,Derecho,,,,
jti_hidalgo,jannettellezinfante_hidalgo,Jannet Tellez Infante,Licenciatura,Diputada Propietario,Mayoria Relativa,08/01/1979,Hidalgo,Distrito:7,SI,MORENA,Ciencias de la educación,,,,
jahp_ciudad de mexico,javierarielhidalgoponce_ciudad de mexico,Javier Ariel Hidalgo Ponce,Licenciatura,Diputado Propietario,Mayoria Relativa,14/05/1960,Ciudad de Mexico,Distrito:10,SI,MORENA,Arquitectura y diseño,,,,
jjcp_baja california,javierjuliancastanedapomposo_baja california,Javier Julian Castañeda Pomposo,Licenciatura,Diputado Propietario,Mayoria Relativa,07/10/1967,Baja California,Distrito:6,SI,MORENA,,,,,
jms_guerrero,javiermanzanosalazar_guerrero,Javier Manzano Salazar,Profesor Normalista,Diputado Propietario,Mayoria Relativa,05/06/1963,Guerrero,Distrito:5,SI,MORENA,,,,,
jsn_mexico,javiersalinasnarvaez_mexico,Javier Salinas Narvaez,Doctorado,Diputado Propietario,Representacion proporcional,22/11/1965,Mexico,Circunscripcion:5,NO,MORENA,Ciencias políticas y sociales,,,,
jcvp_yucatan,jesuscarlosvidalpeniche_yucatan,Jesus Carlos Vidal Peniche,Licenciatura,Diputado Propietario,Mayoria Relativa,16/06/1976,Yucatan,Distrito:1,SI,PVEM,Ciencias de la educación,,,,
jfgh_sinaloa,jesusfernandogarciahernandez_sinaloa,Jesus Fernando Garcia Hernandez,Maestría,Diputado Propietario,Mayoria Relativa,30/05/1958,Sinaloa,Distrito:3,SI,PT,Ciencias de la educación,,,,
jga_veracruz,jesusguzmanaviles_veracruz,Jesus Guzman Aviles,Licenciatura,Diputado Propietario,Mayoria Relativa,25/12/1961,Veracruz,Distrito:2,NO,PAN,Ingeniería,,,,
jsmm_baja california,jesussalvadorminormora_baja california,Jesus Salvador Minor Mora,Licenciatura,Diputado Propietario,Mayoria Relativa,01/06/1951,Baja California,Distrito:1,SI,MORENA,Administración y contaduría,,,,
jsan_mexico,jesussergioalcantaranunez_mexico,Jesus Sergio Alcantara Nuñez,Doctorado,Diputado Propietario,Representacion proporcional,21/06/1965,Mexico,Circunscripcion:5,SI,PRI,Ciencias políticas y sociales,,,,
jdlapm_quintana roo,jesusdelosangelespoolmoo_quintana roo,Jesus de los Angeles Pool Moo,Licenciatura,Diputado Propietario,Mayoria Relativa,22/12/1969,Quintana Roo,Distrito:4,NO,PRD,,,,,
jagl_baja california,jorgealcibiadesgarcialara_baja california,Jorge Alcibiades Garcia Lara,Licenciatura,Diputado Propietario,Representacion proporcional,05/08/1969,Baja California,Circunscripcion:1,SI,MC,Derecho,,,,
jaav_morelos,jorgearturoarguellesvictorero_morelos,Jorge Arturo Arguelles Victorero,Licenciatura,Diputado Propietario,Mayoria Relativa,13/05/1981,Morelos,Distrito:4,SI,PES,Derecho,,,,
jaeg_guanajuato,jorgearturoespadasgalvan_guanajuato,Jorge Arturo Espadas Galvan,Maestría,Diputado Propietario,Mayoria Relativa,08/09/1975,Guanajuato,Distrito:11,SI,PAN,Derecho,,,,
jegm_quintana roo,jorgeemiliogonzalezmartinez_quintana roo,Jorge Emilio Gonzalez Martinez,Licenciatura,Diputado Propietario,Representacion proporcional,16/04/1972,Quintana Roo,Circunscripcion:3,SI,PVEM,,,,,
jers_sonora,jorgeeugeniorussosalido_sonora,Jorge Eugenio Russo Salido,Licenciatura,Diputado Propietario,Representacion proporcional,19/12/1969,Sonora,Circunscripcion:1,SI,MC,,,,,
jlmn_queretaro,jorgeluismontesnieves_queretaro,Jorge Luis Montes Nieves,Licenciatura,Diputado Propietario,Mayoria Relativa,14/01/1981,Queretaro,Distrito:2,SI,MORENA,Psicología,,,,
jlpr_colima,jorgeluispreciadorodriguez_colima,Jorge Luis Preciado Rodriguez,Licenciatura,Diputado Propietario,Representacion proporcional,09/08/1972,Colima,Circunscripcion:5,SI,PAN,Derecho,,,,
jrh_ciudad de mexico,jorgeromeroherrera_ciudad de mexico,Jorge Romero Herrera,Licenciatura,Diputado Propietario,Representacion proporcional,03/01/1979,Ciudad de Mexico,Circunscripcion:4,SI,PAN,Derecho,,,,
japh_coahuila,joseangelperezhernandez_coahuila,Jose Angel Perez Hernandez,Licenciatura,Diputado Propietario,Mayoria Relativa,01/03/1958,Coahuila,Distrito:6,NO,PT,,,,,
jdcgq_campeche,josedelcarmengomezquej_campeche,Jose Del Carmen Gomez Quej,Maestría,Diputado Propietario,Representacion proporcional,18/12/1957,Campeche,Circunscripcion:3,NO,PAN,Económico-financiera,,,,
jela_yucatan,joseeliaslixaabimerhi_yucatan,Jose Elias Lixa Abimerhi,Maestría,Diputado Propietario,Mayoria Relativa,28/02/1987,Yucatan,Distrito:4,SI,PAN,Otra,,,,
jgar_michoacan,joseguadalupeaguilerarojas_michoacan,Jose Guadalupe Aguilera Rojas,Profesor Normalista,Diputado Propietario,Mayoria Relativa,12/12/1971,Michoacan,Distrito:11,SI,PRD,,,,,
jgag_morelos,joseguadalupeambrociogachuz_morelos,Jose Guadalupe Ambrocio Gachuz,Licenciatura,Diputado Propietario,Mayoria Relativa,12/12/1960,Morelos,Distrito:5,SI,MORENA,Ciencias políticas y sociales,,,,
jgas_puebla,joseguillermoarechigasantamaria_puebla,Jose Guillermo Arechiga Santamaria,Maestría,Diputado Propietario,Mayoria Relativa,02/09/1958,Puebla,Distrito:9,NO,MORENA,Ciencias de la educación,,,,
jitr_zacatecas,joseisabeltrejoreyes_zacatecas,Jose Isabel Trejo Reyes,Licenciatura,Diputado Propietario,Representacion proporcional,09/04/1959,Zacatecas,Circunscripcion:2,SI,PAN,Administración y contaduría,,,,
jjms_sinaloa,josejaimemontessalas_sinaloa,Jose Jaime Montes Salas,Licenciatura,Diputado Propietario,Mayoria Relativa,20/02/1954,Sinaloa,Distrito:2,NO,MORENA,,,,,
jlef_chiapas,joseluiselorzaflores_chiapas,Jose Luis Elorza Flores,Licenciatura,Diputado Propietario,Mayoria Relativa,28/04/1973,Chiapas,Distrito:12,SI,MORENA,Ingeniería,,,,
jlgd_nuevo leon,joseluisgarciaduque_nuevo leon,Jose Luis Garcia Duque,Licenciatura,Diputado Propietario,Mayoria Relativa,08/11/1967,Nuevo Leon,Distrito:3,SI,PT,Administración y contaduría,,,,
jlml_mexico,joseluismontalvoluna_mexico,Jose Luis Montalvo Luna,Doctorado,Diputado Propietario,Mayoria Relativa,29/04/1960,Mexico,Distrito:39,SI,PT,Ciencias de la educación,,,,
jmlc_nuevo leon,josemartinlopezcisneros_nuevo leon,Jose Martin Lopez Cisneros,Maestría,Diputado Propietario,Mayoria Relativa,11/11/1972,Nuevo Leon,Distrito:10,SI,PAN,,,,,
jrcp_nayarit,joseramoncamberoperez_nayarit,Jose Ramon Cambero Perez,Licenciatura,Diputado Propietario,Representacion proporcional,27/06/1971,Nayarit,Circunscripcion:1,NO,PAN,Administración y contaduría,,,,
jrde_san luis potosi,josericardodelsolestrada_san luis potosi,Jose Ricardo Delsol Estrada,Secundaria,Diputado Propietario,Mayoria Relativa,29/03/1964,San Luis Potosi,Distrito:4,SI,MORENA,,,,,
jrgc_san luis potosi,josericardogallardocardona_san luis potosi,Jose Ricardo Gallardo Cardona,Licenciatura,Diputado Propietario,Mayoria Relativa,18/11/1980,San Luis Potosi,Distrito:2,NO,PVEM,Derecho,,,,
jrma_baja california sur,joserigobertomaresaguilar_baja california sur,Jose Rigoberto Mares Aguilar,Licenciatura,Diputado Propietario,Representacion proporcional,17/02/1981,Baja California Sur,Circunscripcion:1,SI,PAN,Comunicación,,,,
jsrq_tamaulipas,josesalvadorrosasquintanilla_tamaulipas,Jose Salvador Rosas Quintanilla,Licenciatura,Diputado Propietario,Mayoria Relativa,22/01/1961,Tamaulipas,Distrito:1,SI,PAN,Económico-financiera,,,,
jdllss_tlaxcala,josedelaluzsosasalinas_tlaxcala,Jose de la Luz Sosa Salinas,Técnico,Diputado Propietario,Mayoria Relativa,25/05/1966,Tlaxcala,Distrito:1,NO,PT,Otra,,,,
jsb_san luis potosi,josefinasalazarbaez_san luis potosi,Josefina Salazar Baez,Licenciatura,Diputada Propietario,Mayoria Relativa,29/01/1974,San Luis Potosi,Distrito:5,SI,PAN,Administración y contaduría,,,,
jabb_mexico,juanangelbautistabravo_mexico,Juan Angel Bautista Bravo,Maestría,Diputado Propietario,Mayoria Relativa,25/07/1981,Mexico,Distrito:31,SI,MORENA,Derecho,,,,
jcldlr_chihuahua,juancarlosloeradelarosa_chihuahua,Juan Carlos Loera De La Rosa,Maestría,Diputado Propietario,Representacion proporcional,27/04/1969,Chihuahua,Circunscripcion:1,NO,MORENA,,,,,
jcmm_guanajuato,juancarlosmunozmarquez_guanajuato,Juan Carlos Munoz Marquez,No disponible,Diputado Propietario,Representacion proporcional,30/11/1969,Guanajuato,Circunscripcion:2,NO,PAN,,,,,
jcrh_guanajuato,juancarlosromerohicks_guanajuato,Juan Carlos Romero Hicks,Maestría,Diputado Propietario,Mayoria Relativa,10/12/1955,Guanajuato,Distrito:4,SI,PAN,Ciencias políticas y sociales,,,,
jcvs_jalisco,juancarlosvillarrealsalazar_jalisco,Juan Carlos Villarreal Salazar,Maestría,Diputado Propietario,Mayoria Relativa,11/08/1974,Jalisco,Distrito:7,NO,SinPartido,,,,,
jefe_chiapas,juanenriquefarreraesponda_chiapas,Juan Enrique Farrera Esponda,Pasante/Licenciatura trunca,Diputado Propietario,Mayoria Relativa,21/03/1967,Chiapas,Distrito:10,SI,MORENA,Ciencias de la salud,,,,
jfee_nuevo leon,juanfranciscoespinozaeguia_nuevo leon,Juan Francisco Espinoza Eguia,Licenciatura,Diputado Propietario,Mayoria Relativa,10/11/1971,Nuevo Leon,Distrito:9,SI,PRI,Administración y contaduría,,,,
jfrs_jalisco,juanfranciscoramirezsalcido_jalisco,Juan Francisco Ramirez Salcido,Licenciatura,Diputado Propietario,Mayoria Relativa,25/03/1969,Jalisco,Distrito:14,SI,MC,,,,,
jirr_guanajuato,juanisraelramosruiz_guanajuato,Juan Israel Ramos Ruiz,Secundaria,Diputado Propietario,Representacion proporcional,29/04/1973,Guanajuato,Circunscripcion:2,SI,MORENA,,,,,
jjcp_yucatan,juanjosecanulperez_yucatan,Juan Jose Canul Perez,No disponible,Diputado Propietario,Mayoria Relativa,08/01/1972,Yucatan,Distrito:5,SI,PRI,,,,,
jmec_jalisco,juanmartinespinozacardenas_jalisco,Juan Martin Espinoza Cardenas,Licenciatura,Diputado Propietario,Mayoria Relativa,11/07/1972,Jalisco,Distrito:17,SI,MC,Administración y contaduría,,,,
