N°,Nombre,Grupo Parlamentario,Entidad federativa,Distrito / Circunscripción,Tipo de elección,Releccion 
78,Cesar Agustin Hernandez Perez,MORENA,México,Distrito 30,Mayoría relativa,SI
79,Claudia Angelica Dominguez Vazquez,PT,México,Distrito 14,Mayoría relativa,SI
80,Claudia Baez Ruiz,PES,Puebla,Distrito 3,Mayoría relativa,SI
81,Claudia Elena Lastra Muñoz,PT,Chihuahua,Distrito 3,Mayoría relativa,SI
82,Claudia Lopez Rayon,MORENA,Ciudad de México,Distrito 5,Mayoría relativa,SI
83,Claudia Pastor Badilla,PRI,Ciudad de México,4ª Circunscripción,Representación proporcional,SI
85,Claudia Reyes Montiel,PRD,México,Distrito 18,Mayoría relativa,SI
86,Claudia Tello Espinosa,MORENA,Veracruz,Distrito 8,Mayoría relativa,SI
87,Claudia Valeria Yañez Centeno y Cabrera,MORENA,Colima,Distrito 1,Mayoría relativa,SI
88,Clementina Marta Dekker Gomez,PT,Chiapas,Distrito 5,Mayoría relativa,SI
89,Cruz Juvenal Roa Sanchez,PRI,México,Distrito 36,Mayoría relativa,SI
90,Cuauhtli Fernando Badillo Moreno,MORENA,San Luis Potosí,2ª Circunscripción,Representación proporcional,SI
91,Cynthia Iliana Lopez Castro,PRI,Ciudad de México,4ª Circunscripción,Representación proporcional,SI
92,Daniel Gutierrez Gutierrez,MORENA,Oaxaca,Distrito 10,Mayoría relativa,SI
93,David Bautista Rivera,MORENA,Puebla,4ª Circunscripción,Representación proporcional,SI
94,David Orihuela Nava,MORENA,México,Distrito 23,Mayoría relativa,SI
95,Diego Eduardo Del Bosque Villarreal,MORENA,Coahuila,2ª Circunscripción,Representación proporcional,SI
96,Dionicia Vazquez Garcia,PT,México,Distrito 2,Mayoría relativa,SI
97,Dolores Padierna Luna,MORENA,Ciudad de México,Distrito 12,Mayoría relativa,SI
98,Dorheny Garcia Cayetano,MORENA,Veracruz,3ª Circunscripción,Representación proporcional,SI
99,Dulce Alejandra Garcia Morlan,PAN,Oaxaca,3ª Circunscripción,Representación proporcional,SI
100,Dulce Maria Corina Villegas Guarneros,MORENA,Veracruz,Distrito 15,Mayoría relativa,SI
101,Dulce Maria Mendez De La Luz Dauzon,MC,Veracruz,3ª Circunscripción,Representación proporcional,SI
102,Ector Jaime Ramirez Barba,PAN,Guanajuato,Distrito 5,Mayoría relativa,SI
103,Edelmiro Santiago Santos Diaz,MORENA,Nuevo León,2ª Circunscripción,Representación proporcional,SI
105,Edgar Guzman Valdez,PES,Puebla,Distrito 7,Mayoría relativa,SI
106,Ediltrudis Rodriguez Arellano,MORENA,Tabasco,3ª Circunscripción,Representación proporcional,SI
107,Edith Garcia Rosales,MORENA,Veracruz,3ª Circunscripción,Representación proporcional,SI
108,Edith Marisol Mercado Torres,MORENA,México,5ª Circunscripción,Representación proporcional,SI
109,Eduardo Zarzosa Sanchez,PRI,México,Distrito 9,Mayoría relativa,SI
110,Efrain Rocha Vega,MORENA,Chihuahua,1ª Circunscripción,Representación proporcional,SI
111,Elba Lorena Torres Diaz,PT,Aguascalientes,Distrito 2,Mayoría relativa,SI
112,Eleuterio Arrieta Sanchez,MORENA,Veracruz,Distrito 13,Mayoría relativa,SI
113,Emeteria Claudia Martinez Aguilar,MORENA,Chiapas,3ª Circunscripción,Representación proporcional,SI
114,Emilio Manzanilla Tellez,PT,México,Distrito 16,Mayoría relativa,SI
115,Emmanuel Reyes Carmona,MORENA,Guanajuato,Distrito 13,Mayoría relativa,SI
116,Enrique Ochoa Reza,PRI,Michoacán,5ª Circunscripción,Representación proporcional,SI
117,Eraclio Rodriguez Gomez,PT,Chihuahua,Distrito 7,Mayoría relativa,SI
118,Erasmo Gonzalez Robledo,MORENA,Tamaulipas,Distrito 7,Mayoría relativa,SI
119,Erika Mariana Rosas Uribe,MORENA,Sinaloa,1ª Circunscripción,Representación proporcional,SI
120,Erika Vanessa Del Castillo Ibarra,MORENA,Ciudad de México,Distrito 1,Mayoría relativa,SI
121,Erik Isaac Morales Elvira,MORENA,Baja California,Distrito 7,Mayoría relativa,SI
122,Ernesto Alfonso Robledo Leal,PAN,Nuevo León,Distrito 11,Mayoría relativa,SI
124,Esmeralda de los Angeles Moreno Medina,PES,México,Distrito 26,Mayoría relativa,SI
125,Esteban Barajas Barajas,MORENA,Michoacán,Distrito 2,Mayoría relativa,SI
126,Estela Nuñez Alvarez,MORENA,Tabasco,Distrito 1,Mayoría relativa,SI
127,Eulalio Juan Rios Fararoni,MORENA,Veracruz,Distrito 20,Mayoría relativa,SI
128,Evaristo Lenin Perez Rivera,SP,Coahuila,Distrito 1,Mayoría relativa,SI
129,Fabiola Raquel Guadalupe Loya Hernandez,MC,Jalisco,Distrito 6,Mayoría relativa,SI
130,Feliciano Flores Anguiano,MORENA,Michoacán,Distrito 1,Mayoría relativa,SI
131,Felipe Fernando Macias Olvera,PAN,Querétaro,Distrito 4,Mayoría relativa,SI
132,Felipe Rafael Arvizu De La Luz,MORENA,México,Distrito 12,Mayoría relativa,SI
133,Fernando Donato De las Fuentes Hernandez,PRI,Coahuila,7,Mayoría relativa,SI
134,Fernando Galindo Favela,PRI,Ciudad de México,4ª Circunscripción,Representación proporcional,SI
135,Fernando Luis Manzanilla Prieto,PES,Puebla,Distrito 12,Mayoría relativa,SI
136,Fernando Torres Graciano,PAN,Guanajuato,2ª Circunscripción,Representación proporcional,SI
137,Flora Tania Cruz Santos,MORENA,Veracruz,Distrito 11,Mayoría relativa,SI
138,Fortunato Rivera Castillo,MORENA,Hidalgo,Distrito 1,Mayoría relativa,SI
139,Francisco Elizondo Garrido,MORENA,Nuevo León,2ª Circunscripción,Representación proporcional,SI
140,Francisco Favela Peñuñuri,PT,México,Distrito 5,Mayoría relativa,SI
141,Francisco Javier Borrego Adame,MORENA,Coahuila,Distrito 2,Mayoría relativa,SI
142,Francisco Javier Guzman De La Torre,MORENA,Jalisco,1ª Circunscripción,Representación proporcional,SI
143,Francisco Javier Huacus Esquivel,PT,Michoacán,Distrito 12,Mayoría relativa,SI
144,Francisco Javier Luevano Nuñez,PAN,Aguascalientes,Distrito 1,Mayoría relativa,SI
145,Francisco Javier Ramirez Navarrete,MORENA,México,5ª Circunscripción,Representación proporcional,SI
146,Francisco Javier Saldivar Camacho,PES,Ciudad de México,Distrito 7,Mayoría relativa,SI
147,Frida Alejandra Esparza Marquez,PRD,Zacatecas,2ª Circunscripción,Representación proporcional,SI
148,Frinne Azuara Yarzabal,PRI,San Luis Potosí,2ª Circunscripción,Representación proporcional,SI
149,Geraldina Isabel Herrera Vega,MC,Jalisco,Distrito 10,Mayoría relativa,SI
150,Gloria Romero Leon,PAN,Hidalgo,5ª Circunscripción,Representación proporcional,SI
151,Gonzalo Herrera Perez,MORENA,Michoacán,Distrito 7,Mayoría relativa,SI
152,Graciela Sanchez Ortiz,MORENA,México,Distrito 21,Mayoría relativa,SI
153,Graciela Zavaleta Sanchez,MORENA,Oaxaca,3ª Circunscripción,Representación proporcional,SI
154,Guadalupe Ramos Sotelo,MORENA,Ciudad de México,Distrito 24,Mayoría relativa,SI
155,Guadalupe Romo Romo,PAN,Jalisco,3,Mayoría relativa,SI
157,Gustavo Contreras Montes,MORENA,México,Distrito 8,Mayoría relativa,SI
158,Hector Guillermo de Jesus Jimenez y Meneses,MORENA,Puebla,Distrito 13,Mayoría relativa,SI
159,Hector Joel Villegas Gonzalez,PES,Tamaulipas,Distrito 3,Mayoría relativa,SI
160,Hector Rene Cruz Aparicio,PES,Baja California,Distrito 8,Mayoría relativa,SI
161,Hector Serrano Cortes,PT,Ciudad de México,4ª Circunscripción,Representación proporcional,SI
162,Hector Yunes Landa,PRI,Veracruz,3ª Circunscripción,Representación proporcional,SI
163,Heriberto Marcelo Aguilar Castillo,MORENA,Sonora,Distrito 4,Mayoría relativa,SI
164,Hernan Salinas Wolberg,PAN,Nuevo León,Distrito 1,Mayoría relativa,SI
166,Hilda Patricia Ortega Najera,MORENA,Durango,Distrito 4,Mayoría relativa,SI
167,Hildelisa Gonzalez Morales,PT,Sonora,Distrito 7,Mayoría relativa,SI
168,Hirepan Maya Martinez,MORENA,Michoacán,5ª Circunscripción,Representación proporcional,SI
169,Hortensia Maria Luisa Noroña Quezada,PRI,Jalisco,1ª Circunscripción,Representación proporcional,SI
170,Hugo Rafael Ruiz Lustre,MORENA,Hidalgo,5ª Circunscripción,Representación proporcional,SI
171,Idalia Reyes Miguel,MORENA,Guerrero,4ª Circunscripción,Representación proporcional,SI
172,Ignacio Benjamin Campos Equihua,MORENA,Michoacán,Distrito 9,Mayoría relativa,SI
173,Ines Parra Juarez,MORENA,Puebla,Distrito 4,Mayoría relativa,SI
174,Iran Santiago Manuel,MORENA,Oaxaca,3ª Circunscripción,Representación proporcional,SI
175,Irasema del Carmen Buenfil Diaz,PES,Campeche,Distrito 2,Mayoría relativa,SI
176,Irma Juan Carlos,MORENA,Oaxaca,Distrito 2,Mayoría relativa,SI
177,Irma Maria Teran Villalobos,PES,Sonora,1ª Circunscripción,Representación proporcional,SI
178,Isabel Margarita Guerra Villarreal,PAN,Nuevo León,2a Circunscripción,Representación proporcional,SI
179,Ismael Alfredo Hernandez Deras,PRI,Durango,1ª Circunscripción,Representación proporcional,SI
180,Itzcoatl Tonatiuh Bravo Padilla,MC,Jalisco,1ª Circunscripción,Representación proporcional,SI
181,Ivan Arturo Rodriguez Rivera,PAN,México,5ª Circunscripción,Representación proporcional,SI
182,Jacobo David Cheja Alfaro,MC,México,5ª Circunscripción,Representación proporcional,SI
183,Jacquelina Martinez Juarez,PAN,Zacatecas,2ª Circunscripción,Representación proporcional,SI
184,Jaime Humberto Perez Bernabe,MORENA,Veracruz,Distrito 6,Mayoría relativa,SI
185,Jannet Tellez Infante,MORENA,Hidalgo,Distrito 7,Mayoría relativa,SI
186,Javier Ariel Hidalgo Ponce,MORENA,Ciudad de México,Distrito 10,Mayoría relativa,SI
187,Javier Julian Castañeda Pomposo,MORENA,Baja California,Distrito 6,Mayoría relativa,SI
188,Javier Manzano Salazar,MORENA,Guerrero,Distrito 5,Mayoría relativa,SI
189,Jesus Carlos Vidal Peniche,PVEM,Yucatán,Distrito 1,Mayoría relativa,SI
190,Jesus Fernando Garcia Hernandez,PT,Sinaloa,Distrito 3,Mayoría relativa,SI
191,Jesus Salvador Minor Mora,MORENA,Baja California,Distrito 1,Mayoría relativa,SI
192,Jesus Sergio Alcantara Nuñez,PRI,México,5ª Circunscripción,Representación proporcional,SI
193,Jorge Alcibiades Garcia Lara,MC,Baja California,1ª Circunscripción,Representación proporcional,SI
194,Jorge Arturo Arguelles Victorero,PES,Morelos,Distrito 4,Mayoría relativa,SI
195,Jorge Arturo Espadas Galvan,PAN,Guanajuato,Distrito 11,Mayoría relativa,SI
196,Jorge Emilio Gonzalez Martinez,PVEM,Ciudad de México,3ª Circunscripción,Representación proporcional,SI
197,Jorge Eugenio Russo Salido,MC,Sonora,1ª Circunscripción,Representación proporcional,SI
199,Jorge Luis Montes Nieves,MORENA,Querétaro,Distrito 2,Mayoría relativa,SI
200,Jorge Luis Preciado Rodriguez,PAN,Colima,5ª Circunscripción,Representación proporcional,SI
201,Jorge Romero Herrera,PAN,Ciudad de México,Distrito 4,Mayoría relativa,SI
203,Jose Elias Lixa Abimerhi,PAN,Yucatán,Distrito 4,Mayoría relativa,SI
204,Josefina Salazar Baez,PAN,San Luis Potosí,Distrito 5,Mayoría relativa,SI
206,Gerardo Fernandez Noroña,PT,Ciudad de México,Distrito 4,Mayoría relativa,SI
207,Jose Guadalupe Aguilera Rojas,PRD,Michoacán,Distrito 11,Mayoría relativa,SI
208,Jose Guadalupe Ambrocio Gachuz,MORENA,Morelos,Distrito 5,Mayoría relativa,SI
209,Jose Isabel Trejo Reyes,PAN,Zacatecas,2ª Circunscripción,Representación proporcional,SI
210,Jose Luis Elorza Flores,MORENA,Chiapas,Distrito 12,Mayoría relativa,SI
211,Jose Luis Garcia Duque,PT,Nuevo León,Distrito 3,Mayoría relativa,SI
212,Jose Luis Montalvo Luna,PT,México,Distrito 39,Mayoría relativa,SI
214,Jose Martin Lopez Cisneros,PAN,Nuevo León,Distrito 10,Mayoría relativa,SI
215,Jose Ricardo Delsol Estrada,MORENA,San Luís Potosí,Distrito 4,Mayoría relativa,SI
