Partido,Silenciosa,Boomers,GenX,Millenials,Total
Morena,2.0,20.0,20,6.0,48.0
PAN,1.0,11.0,14,9.0,35.0
PRI,1.0,10.0,11,0.0,22.0
MC,0.0,1.0,7,1.0,9.0
PT,0.0,3.0,3,0.0,6.0
PRD,0.0,1.0,2,0.0,3.0
PVEM,0.0,0.0,2,0.0,2.0
PES,0.0,0.0,1,0.0,1.0
