inic_edo,nom_edo,Nombre,tipo_elec,FechaNacimiento,edo,ent,Tipo de elección,Reeleccion,Partido
ftcs_veracruz,florataniacruzsantos_veracruz,Flora Tania Cruz Santos,Mayoria Relativa,1978-01-27,Veracruz,Distrito:11,Mayoría relativa,SI,MORENA
frc_hidalgo,fortunatoriveracastillo_hidalgo,Fortunato Rivera Castillo,Mayoria Relativa,1955-11-17,Hidalgo,Distrito:1,Mayoría relativa,SI,MORENA
feg_nuevo leon,franciscoelizondogarrido_nuevo leon,Francisco Elizondo Garrido,Representacion proporcional,1982-01-17,Nuevo Leon,Circunscripcion:2,Representación proporcional,SI,MORENA
ffp_mexico,franciscofavelapenunuri_mexico,Francisco Favela Peñuñuri,Mayoria Relativa,1955-04-15,Mexico,Distrito:5,Mayoría relativa,SI,PT
fjba_coahuila,franciscojavierborregoadame_coahuila,Francisco Javier Borrego Adame,Mayoria Relativa,1954-12-27,Coahuila,Distrito:2,Mayoría relativa,SI,MORENA
fjgdlt_jalisco,franciscojavierguzmandelatorre_jalisco,Francisco Javier Guzman De La Torre,Representacion proporcional,1944-08-29,Jalisco,Circunscripcion:1,Representación proporcional,SI,MORENA
fjhe_michoacan,franciscojavierhuacusesquivel_michoacan,Francisco Javier Huacus Esquivel,Mayoria Relativa,1986-08-26,Michoacan,Distrito:12,Mayoría relativa,SI,PT
fjln_aguascalientes,franciscojavierluevanonunez_aguascalientes,Francisco Javier Luevano Nuñez,Mayoria Relativa,1979-07-01,Aguascalientes,Distrito:1,Mayoría relativa,SI,PAN
fjrn_mexico,franciscojavierramireznavarrete_mexico,Francisco Javier Ramirez Navarrete,Representacion proporcional,1988-01-03,Mexico,Circunscripcion:5,Representación proporcional,SI,MORENA
fjsc_ciudad de mexico,franciscojaviersaldivarcamacho_ciudad de mexico,Francisco Javier Saldivar Camacho,Mayoria Relativa,1967-03-12,Ciudad de Mexico,Distrito:17,Mayoría relativa,SI,PES
faem_zacatecas,fridaalejandraesparzamarquez_zacatecas,Frida Alejandra Esparza Marquez,Representacion proporcional,1996-11-05,Zacatecas,Circunscripcion:2,Representación proporcional,SI,PRD
fay_san luis potosi,frinneazuarayarzabal_san luis potosi,Frinne Azuara Yarzabal,Representacion proporcional,1956-03-03,San Luis Potosi,Circunscripcion:2,Representación proporcional,SI,PRI
gcb_ciudad de mexico,gabrielacuevasbarron_ciudad de mexico,Gabriela Cuevas Barron,Representacion proporcional,1979-04-03,Ciudad de Mexico,Circunscripcion:4,,NO,MORENA
gihv_jalisco,geraldinaisabelherreravega_jalisco,Geraldina Isabel Herrera Vega,Mayoria Relativa,1963-04-24,Jalisco,Distrito:10,Mayoría relativa,SI,MC
gfn_ciudad de mexico,gerardofernandeznorona_ciudad de mexico,Gerardo Fernandez Noroña,Mayoria Relativa,1960-03-19,Ciudad de Mexico,Distrito:4,Mayoría relativa,SI,PT
grl_hidalgo,gloriaromeroleon_hidalgo,Gloria Romero Leon,Representacion proporcional,1964-01-25,Hidalgo,Circunscripcion:5,Representación proporcional,SI,PAN
ghp_michoacan,gonzaloherreraperez_michoacan,Gonzalo Herrera Perez,Mayoria Relativa,1955-07-07,Michoacan,Distrito:7,Mayoría relativa,SI,MORENA
gso_mexico,gracielasanchezortiz_mexico,Graciela Sanchez Ortiz,Mayoria Relativa,1959-02-18,Mexico,Distrito:21,Mayoría relativa,SI,MORENA
gzs_oaxaca,gracielazavaletasanchez_oaxaca,Graciela Zavaleta Sanchez,Representacion proporcional,1946-12-23,Oaxaca,Circunscripcion:3,Representación proporcional,SI,MORENA
geem_tabasco,gregorioefrainespadasmendez_tabasco,Gregorio Efrain Espadas Mendez,Mayoria Relativa,1948-10-26,Tabasco,Distrito:3,,NO,MORENA
grs_ciudad de mexico,guadaluperamossotelo_ciudad de mexico,Guadalupe Ramos Sotelo,Mayoria Relativa,1974-02-01,Ciudad de Mexico,Distrito:24,Mayoría relativa,SI,MORENA
grr_jalisco,guadaluperomoromo_jalisco,Guadalupe Romo Romo,Mayoria Relativa,1962-03-22,Jalisco,Distrito:3,Mayoría relativa,SI,PAN
gcm_mexico,gustavocontrerasmontes_mexico,Gustavo Contreras Montes,Mayoria Relativa,1980-06-11,Mexico,Distrito:8,Mayoría relativa,SI,MORENA
hgdjjym_puebla,hectorguillermodejesusjimenezymeneses_puebla,Hector Guillermo de Jesus Jimenez y Meneses,Mayoria Relativa,1945-11-24,Puebla,Distrito:13,Mayoría relativa,SI,MORENA
hjvg_tamaulipas,hectorjoelvillegasgonzalez_tamaulipas,Hector Joel Villegas Gonzalez,Mayoria Relativa,1979-05-09,Tamaulipas,Distrito:3,Mayoría relativa,SI,PES
hrca_baja california,hectorrenecruzaparicio_baja california,Hector Rene Cruz Aparicio,Mayoria Relativa,1982-12-27,Baja California,Distrito:8,Mayoría relativa,SI,PES
hsc_ciudad de mexico,hectorserranocortes_ciudad de mexico,Hector Serrano Cortes,Representacion proporcional,1962-04-22,Ciudad de Mexico,Circunscripcion:4,Representación proporcional,SI,PT
hyl_veracruz,hectoryuneslanda_veracruz,Hector Yunes Landa,Representacion proporcional,1958-10-27,Veracruz,Circunscripcion:3,Representación proporcional,SI,PRI
hmac_sonora,heribertomarceloaguilarcastillo_sonora,Heriberto Marcelo Aguilar Castillo,Mayoria Relativa,1975-02-12,Sonora,Distrito:4,Mayoría relativa,SI,MORENA
hsw_nuevo leon,hernansalinaswolberg_nuevo leon,Hernan Salinas Wolberg,Mayoria Relativa,1982-04-01,Nuevo Leon,Distrito:1,Mayoría relativa,SI,PAN
hpon_durango,hildapatriciaorteganajera_durango,Hilda Patricia Ortega Najera,Mayoria Relativa,1966-08-10,Durango,Distrito:4,Mayoría relativa,SI,MORENA
hgm_sonora,hildelisagonzalezmorales_sonora,Hildelisa Gonzalez Morales,Mayoria Relativa,1956-12-22,Sonora,Distrito:7,Mayoría relativa,SI,PT
hmm_michoacan,hirepanmayamartinez_michoacan,Hirepan Maya Martinez,Representacion proporcional,1977-12-02,Michoacan,Circunscripcion:5,Representación proporcional,SI,MORENA
hdo_mexico,horacioduarteolivares_mexico,Horacio Duarte Olivares,Representacion proporcional,1971-11-05,Mexico,Circunscripcion:5,,NO,MORENA
hmlnq_jalisco,hortensiamarialuisanoronaquezada_jalisco,Hortensia Maria Luisa Noroña Quezada,Representacion proporcional,1976-10-19,Jalisco,Circunscripcion:1,Representación proporcional,SI,PRI
hrrl_hidalgo,hugorafaelruizlustre_hidalgo,Hugo Rafael Ruiz Lustre,Representacion proporcional,1965-08-22,Hidalgo,Circunscripcion:5,Representación proporcional,SI,MORENA
hpm_chiapas,humbertopedreromoreno_chiapas,Humberto Pedrero Moreno,Mayoria Relativa,1986-05-26,Chiapas,Distrito:2,,NO,MORENA
irm_guerrero,idaliareyesmiguel_guerrero,Idalia Reyes Miguel,Representacion proporcional,1976-08-15,Guerrero,Circunscripcion:4,Representación proporcional,SI,MORENA
ibce_michoacan,ignaciobenjamincamposequihua_michoacan,Ignacio Benjamin Campos Equihua,Mayoria Relativa,1973-05-12,Michoacan,Distrito:9,Mayoría relativa,SI,MORENA
ivs_colima,indiravizcainosilva_colima,Indira Vizcaino Silva,Mayoria Relativa,1987-01-14,Colima,Distrito:2,,NO,MORENA
ipj_puebla,inesparrajuarez_puebla,Ines Parra Juarez,Mayoria Relativa,1978-04-20,Puebla,Distrito:4,Mayoría relativa,SI,MORENA
ism_oaxaca,iransantiagomanuel_oaxaca,Iran Santiago Manuel,Representacion proporcional,1985-03-04,Oaxaca,Circunscripcion:3,Representación proporcional,SI,MORENA
idcbd_campeche,irasemadelcarmenbuenfildiaz_campeche,Irasema del Carmen Buenfil Diaz,Mayoria Relativa,1958-08-22,Campeche,Distrito:2,Mayoría relativa,SI,PES
ime_oaxaca,irineomolinaespinoza_oaxaca,Irineo Molina Espinoza,Mayoria Relativa,1976-06-13,Oaxaca,Distrito:1,,NO,MORENA
ijc_oaxaca,irmajuancarlos_oaxaca,Irma Juan Carlos,Mayoria Relativa,1977-07-19,Oaxaca,Distrito:2,Mayoría relativa,SI,MORENA
imtv_sonora,irmamariateranvillalobos_sonora,Irma Maria Teran Villalobos,Representacion proporcional,1985-11-12,Sonora,Circunscripcion:1,Representación proporcional,SI,PES
imgv_nuevo leon,isabelmargaritaguerravillarreal_nuevo leon,Isabel Margarita Guerra Villarreal,Representacion proporcional,1975-09-22,Nuevo Leon,Circunscripcion:2,Representación proporcional,SI,PAN
igc_baja california sur,isaiasgonzalezcuevas_baja california sur,Isaias Gonzalez Cuevas,Representacion proporcional,1940-07-06,Baja California Sur,Circunscripcion:1,,NO,PRI
iahd_durango,ismaelalfredohernandezderas_durango,Ismael Alfredo Hernandez Deras,Representacion proporcional,1964-02-20,Durango,Circunscripcion:1,Representación proporcional,SI,PRI
itbp_jalisco,itzcoatltonatiuhbravopadilla_jalisco,Itzcoatl Tonatiuh Bravo Padilla,Representacion proporcional,1960-02-07,Jalisco,Circunscripcion:1,Representación proporcional,SI,MC
iapnr_michoacan,ivanarturopereznegronruiz_michoacan,Ivan Arturo Perez Negron ,Mayoria Relativa,1974-07-20,Michoacan,Distrito:10,,NO,MORENA
iarr_mexico,ivanarturorodriguezrivera_mexico,Ivan Arturo Rodriguez Rivera,Representacion proporcional,1974-05-02,Mexico,Circunscripcion:5,Representación proporcional,SI,PAN
ilag_nuevo leon,ivonnelilianaalvarezgarcia_nuevo leon,Ivonne Liliana Alvarez Garcia,Representacion proporcional,1978-04-25,Nuevo Leon,Circunscripcion:2,,NO,PRI
jdca_mexico,jacobodavidchejaalfaro_mexico,Jacobo David Cheja Alfaro,Representacion proporcional,1965-10-08,Mexico,Circunscripcion:5,Representación proporcional,SI,MC
jmj_zacatecas,jacquelinamartinezjuarez_zacatecas,Jacquelina Martinez Juarez,Representacion proporcional,1981-05-26,Zacatecas,Circunscripcion:2,Representación proporcional,SI,PAN
jhpb_veracruz,jaimehumbertoperezbernabe_veracruz,Jaime Humberto Perez Bernabe,Mayoria Relativa,1973-04-15,Veracruz,Distrito:6,Mayoría relativa,SI,MORENA
jmmc_guanajuato,janetmelaniemurillochavez_guanajuato,Janet Melanie Murillo Chavez,Mayoria Relativa,1981-08-02,Guanajuato,Distrito:9,,NO,PAN
jti_hidalgo,jannettellezinfante_hidalgo,Jannet Tellez Infante,Mayoria Relativa,1979-01-08,Hidalgo,Distrito:7,Mayoría relativa,SI,MORENA
jahp_ciudad de mexico,javierarielhidalgoponce_ciudad de mexico,Javier Ariel Hidalgo Ponce,Mayoria Relativa,1960-05-14,Ciudad de Mexico,Distrito:10,Mayoría relativa,SI,MORENA
jjcp_baja california,javierjuliancastanedapomposo_baja california,Javier Julian Castañeda Pomposo,Mayoria Relativa,1967-10-07,Baja California,Distrito:6,Mayoría relativa,SI,MORENA
jms_guerrero,javiermanzanosalazar_guerrero,Javier Manzano Salazar,Mayoria Relativa,1963-06-05,Guerrero,Distrito:5,Mayoría relativa,SI,MORENA
jsn_mexico,javiersalinasnarvaez_mexico,Javier Salinas Narvaez,Representacion proporcional,1965-11-22,Mexico,Circunscripcion:5,,NO,MORENA
jcvp_yucatan,jesuscarlosvidalpeniche_yucatan,Jesus Carlos Vidal Peniche,Mayoria Relativa,1976-06-16,Yucatan,Distrito:1,Mayoría relativa,SI,PVEM
jfgh_sinaloa,jesusfernandogarciahernandez_sinaloa,Jesus Fernando Garcia Hernandez,Mayoria Relativa,1958-05-30,Sinaloa,Distrito:3,Mayoría relativa,SI,PT
jga_veracruz,jesusguzmanaviles_veracruz,Jesus Guzman Aviles,Mayoria Relativa,1961-12-25,Veracruz,Distrito:2,,NO,PAN
jsmm_baja california,jesussalvadorminormora_baja california,Jesus Salvador Minor Mora,Mayoria Relativa,1951-06-01,Baja California,Distrito:1,Mayoría relativa,SI,MORENA
jsan_mexico,jesussergioalcantaranunez_mexico,Jesus Sergio Alcantara Nuñez,Representacion proporcional,1965-06-21,Mexico,Circunscripcion:5,Representación proporcional,SI,PRI
jdlapm_quintana roo,jesusdelosangelespoolmoo_quintana roo,Jesus de los Angeles Pool Moo,Mayoria Relativa,1969-12-22,Quintana Roo,Distrito:4,,NO,PRD
jagl_baja california,jorgealcibiadesgarcialara_baja california,Jorge Alcibiades Garcia Lara,Representacion proporcional,1969-08-05,Baja California,Circunscripcion:1,Representación proporcional,SI,MC
jaav_morelos,jorgearturoarguellesvictorero_morelos,Jorge Arturo Arguelles Victorero,Mayoria Relativa,1981-05-13,Morelos,Distrito:4,Mayoría relativa,SI,PES
jaeg_guanajuato,jorgearturoespadasgalvan_guanajuato,Jorge Arturo Espadas Galvan,Mayoria Relativa,1975-09-08,Guanajuato,Distrito:11,Mayoría relativa,SI,PAN
jegm_quintana roo,jorgeemiliogonzalezmartinez_quintana roo,Jorge Emilio Gonzalez Martinez,Representacion proporcional,1972-04-16,Quintana Roo,Circunscripcion:3,Representación proporcional,SI,PVEM
jers_sonora,jorgeeugeniorussosalido_sonora,Jorge Eugenio Russo Salido,Representacion proporcional,1969-12-19,Sonora,Circunscripcion:1,Representación proporcional,SI,MC
jlmn_queretaro,jorgeluismontesnieves_queretaro,Jorge Luis Montes Nieves,Mayoria Relativa,1981-01-14,Queretaro,Distrito:2,Mayoría relativa,SI,MORENA
jlpr_colima,jorgeluispreciadorodriguez_colima,Jorge Luis Preciado Rodriguez,Representacion proporcional,1972-08-09,Colima,Circunscripcion:5,Representación proporcional,SI,PAN
jrh_ciudad de mexico,jorgeromeroherrera_ciudad de mexico,Jorge Romero Herrera,Representacion proporcional,1979-01-03,Ciudad de Mexico,Circunscripcion:4,Mayoría relativa,SI,PAN
japh_coahuila,joseangelperezhernandez_coahuila,Jose Angel Perez Hernandez,Mayoria Relativa,1958-03-01,Coahuila,Distrito:6,,NO,PT
jdcgq_campeche,josedelcarmengomezquej_campeche,Jose Del Carmen Gomez Quej,Representacion proporcional,1957-12-18,Campeche,Circunscripcion:3,,NO,PAN
jela_yucatan,joseeliaslixaabimerhi_yucatan,Jose Elias Lixa Abimerhi,Mayoria Relativa,1987-02-28,Yucatan,Distrito:4,Mayoría relativa,SI,PAN
jgar_michoacan,joseguadalupeaguilerarojas_michoacan,Jose Guadalupe Aguilera Rojas,Mayoria Relativa,1971-12-12,Michoacan,Distrito:11,Mayoría relativa,SI,PRD
jgag_morelos,joseguadalupeambrociogachuz_morelos,Jose Guadalupe Ambrocio Gachuz,Mayoria Relativa,1960-12-12,Morelos,Distrito:5,Mayoría relativa,SI,MORENA
jgas_puebla,joseguillermoarechigasantamaria_puebla,Jose Guillermo Arechiga Santamaria,Mayoria Relativa,1958-09-02,Puebla,Distrito:9,,NO,MORENA
jitr_zacatecas,joseisabeltrejoreyes_zacatecas,Jose Isabel Trejo Reyes,Representacion proporcional,1959-04-09,Zacatecas,Circunscripcion:2,Representación proporcional,SI,PAN
jjms_sinaloa,josejaimemontessalas_sinaloa,Jose Jaime Montes Salas,Mayoria Relativa,1954-02-20,Sinaloa,Distrito:2,,NO,MORENA
jlef_chiapas,joseluiselorzaflores_chiapas,Jose Luis Elorza Flores,Mayoria Relativa,1973-04-28,Chiapas,Distrito:12,Mayoría relativa,SI,MORENA
jlgd_nuevo leon,joseluisgarciaduque_nuevo leon,Jose Luis Garcia Duque,Mayoria Relativa,1967-11-08,Nuevo Leon,Distrito:3,Mayoría relativa,SI,PT
jlml_mexico,joseluismontalvoluna_mexico,Jose Luis Montalvo Luna,Mayoria Relativa,1960-04-29,Mexico,Distrito:39,Mayoría relativa,SI,PT
jmlc_nuevo leon,josemartinlopezcisneros_nuevo leon,Jose Martin Lopez Cisneros,Mayoria Relativa,1972-11-11,Nuevo Leon,Distrito:10,Mayoría relativa,SI,PAN
jrcp_nayarit,joseramoncamberoperez_nayarit,Jose Ramon Cambero Perez,Representacion proporcional,1971-06-27,Nayarit,Circunscripcion:1,,NO,PAN
jrde_san luis potosi,josericardodelsolestrada_san luis potosi,Jose Ricardo Delsol Estrada,Mayoria Relativa,1964-03-29,San Luis Potosi,Distrito:4,Mayoría relativa,SI,MORENA
jrgc_san luis potosi,josericardogallardocardona_san luis potosi,Jose Ricardo Gallardo Cardona,Mayoria Relativa,1980-11-18,San Luis Potosi,Distrito:2,,NO,PVEM
jrma_baja california sur,joserigobertomaresaguilar_baja california sur,Jose Rigoberto Mares Aguilar,Representacion proporcional,1981-02-17,Baja California Sur,Circunscripcion:1,Representación proporcional,SI,PAN
jsrq_tamaulipas,josesalvadorrosasquintanilla_tamaulipas,Jose Salvador Rosas Quintanilla,Mayoria Relativa,1961-01-22,Tamaulipas,Distrito:1,Mayoría relativa,SI,PAN
jdllss_tlaxcala,josedelaluzsosasalinas_tlaxcala,Jose de la Luz Sosa Salinas,Mayoria Relativa,1966-05-25,Tlaxcala,Distrito:1,,NO,PT
jsb_san luis potosi,josefinasalazarbaez_san luis potosi,Josefina Salazar Baez,Mayoria Relativa,1974-01-29,San Luis Potosi,Distrito:5,Mayoría relativa,SI,PAN
jabb_mexico,juanangelbautistabravo_mexico,Juan Angel Bautista Bravo,Mayoria Relativa,1981-07-25,Mexico,Distrito:31,Mayoría relativa,SI,MORENA
jcldlr_chihuahua,juancarlosloeradelarosa_chihuahua,Juan Carlos Loera De La Rosa,Representacion proporcional,1969-04-27,Chihuahua,Circunscripcion:1,,NO,MORENA
jcmm_guanajuato,juancarlosmunozmarquez_guanajuato,Juan Carlos Munoz Marquez,Representacion proporcional,1969-11-30,Guanajuato,Circunscripcion:2,,NO,PAN
jcrh_guanajuato,juancarlosromerohicks_guanajuato,Juan Carlos Romero Hicks,Mayoria Relativa,1955-12-10,Guanajuato,Distrito:4,Mayoría relativa,SI,PAN
jcvs_jalisco,juancarlosvillarrealsalazar_jalisco,Juan Carlos Villarreal Salazar,Mayoria Relativa,1974-08-11,Jalisco,Distrito:7,,NO,SinPartido
jefe_chiapas,juanenriquefarreraesponda_chiapas,Juan Enrique Farrera Esponda,Mayoria Relativa,1967-03-21,Chiapas,Distrito:10,Mayoría relativa,SI,MORENA
jfee_nuevo leon,juanfranciscoespinozaeguia_nuevo leon,Juan Francisco Espinoza Eguia,Mayoria Relativa,1971-11-10,Nuevo Leon,Distrito:9,Mayoría relativa,SI,PRI
jfrs_jalisco,juanfranciscoramirezsalcido_jalisco,Juan Francisco Ramirez Salcido,Mayoria Relativa,1969-03-25,Jalisco,Distrito:14,Mayoría relativa,SI,MC
jirr_guanajuato,juanisraelramosruiz_guanajuato,Juan Israel Ramos Ruiz,Representacion proporcional,1973-04-29,Guanajuato,Circunscripcion:2,Representación proporcional,SI,MORENA
jjcp_yucatan,juanjosecanulperez_yucatan,Juan Jose Canul Perez,Mayoria Relativa,1972-01-08,Yucatan,Distrito:5,Mayoría relativa,SI,PRI
jmec_jalisco,juanmartinespinozacardenas_jalisco,Juan Martin Espinoza Cardenas,Mayoria Relativa,1972-07-11,Jalisco,Distrito:17,Mayoría relativa,SI,MC
jmf_veracruz,juanmartinezflores_veracruz,Juan Martinez Flores,Mayoria Relativa,1956-04-03,Veracruz,Distrito:16,Mayoría relativa,SI,MORENA
jog_veracruz,juanortizguarneros_veracruz,Juan Ortiz Guarneros,Representacion proporcional,1953-09-25,Veracruz,Circunscripcion:3,Representación proporcional,SI,PRI
jpsr_mexico,juanpablosanchezrodriguez_mexico,Juan Pablo Sanchez Rodriguez,Mayoria Relativa,1979-04-29,Mexico,Distrito:20,Mayoría relativa,SI,MORENA
jcl_mexico,juanacarrilloluna_mexico,Juana Carrillo Luna,Representacion proporcional,1963-06-24,Mexico,Circunscripcion:5,Representación proporcional,SI,MORENA
jgm_morelos,juanitaguerramena_morelos,Juanita Guerra Mena,Mayoria Relativa,1983-03-19,Morelos,Distrito:3,Mayoría relativa,SI,MORENA
jgz_michoacan,julietagarciazepeda_michoacan,Julieta Garcia Zepeda,Representacion proporcional,1965-03-20,Michoacan,Circunscripcion:5,Representación proporcional,SI,MORENA
jkvv_puebla,julietakristalvencesvalencia_puebla,Julieta Kristal Vences Valencia,Mayoria Relativa,1986-10-24,Puebla,Distrito:8,Mayoría relativa,SI,MORENA
jmr_ciudad de mexico,julietamaciasrabago_ciudad de mexico,Carmen Julieta Macias Rabago,Representacion proporcional,1971-10-05,Ciudad de Mexico,Circunscripcion:4,,NO,MC
jca_veracruz,juliocarranzaareas_veracruz,Julio Carranza Areas,Representacion proporcional,1965-03-14,Veracruz,Circunscripcion:3,Representación proporcional,SI,MORENA
jcam_hidalgo,juliocesarangelesmendoza_hidalgo,Julio Cesar Angeles Mendoza,Mayoria Relativa,1971-10-24,Hidalgo,Distrito:5,Mayoría relativa,SI,MORENA
jear_guanajuato,justinoeugenioarriagarojas_guanajuato,Justino Eugenio Arriaga Rojas,Mayoria Relativa,1979-09-20,Guanajuato,Distrito:8,Mayoría relativa,SI,PAN
kmgm_guanajuato,karenmichelgonzalezmarquez_guanajuato,Karen Michel Gonzalez Marquez,Mayoria Relativa,1988-01-21,Guanajuato,Distrito:7,Mayoría relativa,SI,PAN
kyab_mexico,karlayuritzialmazanburgos_mexico,Karla Yuritzi Almazan Burgos,Mayoria Relativa,1974-08-27,Mexico,Distrito:38,Mayoría relativa,SI,MORENA
kacl_jalisco,katiaalejandracastillolozano_jalisco,Katia Alejandra Castillo Lozano,Representacion proporcional,1982-10-20,Jalisco,Circunscripcion:1,Representación proporcional,SI,MORENA
kake_jalisco,kehilaabigailkuescalante_jalisco,Kehila Abigail Ku Escalante,Mayoria Relativa,1985-09-02,Jalisco,Distrito:11,Mayoría relativa,SI,MC
larh_mexico,lauraangelicarojashernandez_mexico,Laura Angelica Rojas Hernandez,Representacion proporcional,1975-12-26,Mexico,Circunscripcion:5,Mayoría relativa,SI,PAN
lbf_mexico,laurabarrerafortoul_mexico,Laura Barrera Fortoul,Representacion proporcional,1976-05-10,Mexico,Circunscripcion:5,Representación proporcional,SI,PRI
ledjgg_nuevo leon,lauraerikadejesusgarzagutierrez_nuevo leon,Laura Erika de Jesus Garza Gutierrez,Mayoria Relativa,1977-08-19,Nuevo Leon,Distrito:7,,NO,PES
lips_jalisco,lauraimeldaperezsegura_jalisco,Laura Imelda Perez Segura,Mayoria Relativa,1980-05-30,Jalisco,Distrito:16,Mayoría relativa,SI,MORENA
lmg_ciudad de mexico,lauramartinezgonzalez_ciudad de mexico,Laura Martinez Gonzalez,Representacion proporcional,1970-01-15,Ciudad de Mexico,Circunscripcion:4,Representación proporcional,SI,MORENA
lpam_tabasco,laurapatriciaavalosmagana_tabasco,Laura Patricia Avalos Magaña,Mayoria Relativa,1974-05-21,Tabasco,Distrito:5,,NO,MORENA
lncc_san luis potosi,leninnelsoncamposcordova_san luis potosi,Lenin Nelson Campos Cordova,Representacion proporcional,1961-08-08,San Luis Potosi,Circunscripcion:2,Representación proporcional,SI,PRI
laam_chiapas,leticiaarlettaguilarmolina_chiapas,Leticia Arlett Aguilar Molina,Mayoria Relativa,1958-03-01,Chiapas,Distrito:9,Mayoría relativa,SI,MORENA
lda_ciudad de mexico,leticiadiazaguilar_ciudad de mexico,Leticia Diaz Aguilar,Representacion proporcional,1964-03-20,Ciudad de Mexico,Circunscripcion:4,Representación proporcional,SI,MORENA
lmgo_mexico,leticiamarianagomezordaz_mexico,Leticia Mariana Gomez Ordaz,Representacion proporcional,1983-03-06,Mexico,Circunscripcion:5,Representación proporcional,SI,PVEM
lga_hidalgo,lidiagarciaanaya_hidalgo,Lidia Garcia Anaya,Mayoria Relativa,1957-10-31,Hidalgo,Distrito:6,Mayoría relativa,SI,MORENA
lnvh_san luis potosi,lidianallelyvargashernandez_san luis potosi,Lidia Nallely Vargas Hernandez,Representacion proporcional,1992-08-03,San Luis Potosi,Circunscripcion:2,Representación proporcional,SI,MORENA
lvz_guanajuato,liliavillafuertezavala_guanajuato,Lilia Villafuerte Zavala,Mayoria Relativa,1963-04-19,Guanajuato,Distrito:10,Mayoría relativa,SI,PVEM
lml_baja california,lizbethmatalozano_baja california,Lizbeth Mata Lozano,Representacion proporcional,1984-01-10,Baja California,Circunscripcion:1,Mayoría relativa,SI,PAN
lagm_veracruz,lizethamayraniguerramendez_veracruz,Lizeth Amayrani Guerra Mendez,Representacion proporcional,1994-01-18,Veracruz,Circunscripcion:3,Representación proporcional,SI,MORENA
lsg_puebla,lizethsanchezgarcia_puebla,Lizeth Sanchez Garcia,Mayoria Relativa,1976-11-03,Puebla,Distrito:5,,NO,PT
lcc_tlaxcala,lorenacuellarcisneros_tlaxcala,Lorena Cuellar Cisneros,Mayoria Relativa,1962-02-20,Tlaxcala,Distrito:3,,NO,MORENA
ldsja_jalisco,lorenadelsocorrojimenezandrade_jalisco,Lorena del Socorro Jimenez Andrade,Mayoria Relativa,1959-10-21,Jalisco,Distrito:5,Mayoría relativa,SI,MORENA
livs_sonora,loreniaivethvallessampedro_sonora,Lorenia Iveth Valles Sampedro,Mayoria Relativa,1976-12-18,Sonora,Distrito:3,Mayoría relativa,SI,MORENA
lccg_jalisco,lourdesceleniacontrerasgonzalez_jalisco,Lourdes Celenia Contreras Gonzalez,Mayoria Relativa,1984-12-29,Jalisco,Distrito:13,Mayoría relativa,SI,MC
lesm_sinaloa,lourdeserikasanchezmartinez_sinaloa,Lourdes Erika Sanchez Martinez,Representacion proporcional,1980-09-29,Sinaloa,Circunscripcion:1,Representación proporcional,SI,PRI
lfo_ciudad de mexico,luciafloresolivo_ciudad de mexico,Lucia Flores Olivo,Representacion proporcional,1965-04-09,Ciudad de Mexico,Circunscripcion:4,Representación proporcional,SI,MORENA
lss_sinaloa,lucindasandovalsoberanes_sinaloa,Lucinda Sandoval Soberanes,Representacion proporcional,1980-02-18,Sinaloa,Circunscripcion:1,Representación proporcional,SI,MORENA
ldjj_ciudad de mexico,luciodejesusjimenez_ciudad de mexico,Lucio De Jesus Jimenez,Representacion proporcional,1970-12-15,Ciudad de Mexico,Circunscripcion:4,Representación proporcional,SI,MORENA
lepc_ciudad de mexico,lucioernestopalacioscordero_ciudad de mexico,Lucio Ernesto Palacios Cordero,Representacion proporcional,1977-07-07,Ciudad de Mexico,Circunscripcion:4,Representación proporcional,SI,MORENA
lama_ciudad de mexico,luisalbertomendozaacevedo_ciudad de mexico,Luis Alberto Mendoza Acevedo,Mayoria Relativa,1980-01-12,Ciudad de Mexico,Distrito:15,Mayoría relativa,SI,PAN
lelcm_puebla,luiseleusisleonidascordovamoran_puebla,Luis Eleusis Leonidas Cordova Moran,Representacion proporcional,1949-09-26,Puebla,Circunscripcion:4,Representación proporcional,SI,PRI
lemv_mexico,luisenriquemartinezventura_mexico,Luis Enrique Martinez Ventura,Mayoria Relativa,1963-08-19,Mexico,Distrito:32,Mayoría relativa,SI,PT
lemn_mexico,luisenriquemirandanava_mexico,Luis Enrique Miranda Nava,Representacion proporcional,1965-02-04,Mexico,Circunscripcion:5,Representación proporcional,SI,PRI
lfsf_coahuila,luisfernandosalazarfernandez_coahuila,Luis Fernando Salazar Fernandez,Mayoria Relativa,1977-11-18,Coahuila,Distrito:5,,NO,MORENA
ljas_quintana roo,luisjavieralegresalazar_quintana roo,Luis Javier Alegre Salazar,Representacion proporcional,1964-02-04,Quintana Roo,Circunscripcion:3,Representación proporcional,SI,MORENA
lerm_ciudad de mexico,luzestefaniarosasmartinez_ciudad de mexico,Luz Estefania Rosas Martinez,Representacion proporcional,1995-08-22,Ciudad de Mexico,Circunscripcion:4,Representación proporcional,SI,MORENA
lebc_zacatecas,lyndianaelizabethbugarincortes_zacatecas,Lyndiana Elizabeth Bugarin Cortes,Mayoria Relativa,1988-12-13,Zacatecas,Distrito:2,Mayoría relativa,SI,PVEM
