N°	Diputada / Diputado	Grupo Parlamentario	Entidad federativa	Distrito / Circunscripción	Tipo de elección	Fecha de recepción	En funciones	Carta
80	Claudia Báez Ruiz	PES	Puebla	Distrito 3	Mayoría relativa	16 de diciembre del 2020	En funciones	
81	Claudia Elena Lastra Muñoz	PT	Chihuahua	Distrito 3	Mayoría relativa	15 de diciembre del 2020	En funciones	
82	Claudia López Rayón	MORENA	Ciudad de México	Distrito 5	Mayoría relativa	17 de diciembre del 2020	En funciones	
83	Claudia Pastor Badilla	PRI	Ciudad de México	4ª Circunscripción	Representación proporcional	22 de diciembre del 2020	En funciones	
84	Claudia Pérez Rodríguez	MORENA	Tlaxcala	Distrito 3	Mayoría relativa	17 de diciembre del 2020	En funciones	
85	Claudia Reyes Montiel	PRD	México	Distrito 18	Mayoría relativa	22 de diciembre del 2020	En funciones	
86	Claudia Tello Espinosa	MORENA	Veracruz	Distrito 8	Mayoría relativa	17 de diciembre del 2020	En funciones	
87	Claudia Valeria Yáñez Centeno y Cabrera	MORENA	Colima	Distrito 1	Mayoría relativa	17 de diciembre del 2020	En funciones	
88	Clementina Marta Dekker Gómez	PT	Chiapas	Distrito 5	Mayoría relativa	15 de diciembre del 2020	En funciones	
89	Cruz Juvenal Roa Sánchez	PRI	México	Distrito 36	Mayoría relativa	22 de diciembre del 2020	En funciones	
90	Cuauhtli Fernando Badillo Moreno	MORENA	San Luis Potosí	2ª Circunscripción	Representación proporcional	17 de diciembre del 2020	En funciones	
91	Cynthia Iliana López Castro	PRI	Ciudad de México	4ª Circunscripción	Representación proporcional	22 de diciembre del 2020	En funciones	
92	Daniel Gutiérrez Gutiérrez	MORENA	Oaxaca	Distrito 10	Mayoría relativa	17 de diciembre del 2020	En funciones	
93	David Bautista Rivera	MORENA	Puebla	4ª Circunscripción	Representación proporcional	17 de diciembre del 2020	En funciones	
94	David Orihuela Nava	MORENA	México	Distrito 23	Mayoría relativa	17 de diciembre del 2020	En funciones	
95	Diego Eduardo Del Bosque Villarreal	MORENA	Coahuila	2ª Circunscripción	Representación proporcional	17 de diciembre del 2020	En funciones	
96	Dionicia Vázquez García	PT	México	Distrito 2	Mayoría relativa	15 de diciembre del 2020	En funciones	
97	Dolores Padierna Luna	MORENA	Ciudad de México	Distrito 12	Mayoría relativa	17 de diciembre del 2020	En funciones	
