UltimoGradoEstudios,Silenciosa,Boomers,GenX,Millenials,Total
Licenciatura,1.0,76,108,46.0,231.0
Maestría,1.0,37,64,28.0,130.0
Pasante/Licenciatura trunca,0.0,10,16,10.0,36.0
Doctorado,1.0,8,19,0.0,28.0
No disponible,1.0,7,9,1.0,18.0
Secundaria,2.0,5,8,3.0,18.0
Técnico,1.0,6,7,3.0,17.0
Preparatoria,1.0,5,6,1.0,13.0
Profesor Normalista,0.0,3,1,0.0,4.0
Primaria,0.0,1,1,0.0,2.0
