Partido,Silenciosa,Boomers,GenX,Millenials,Total
Morena,2.0,10.0,11.0,0.0,23.0
PAN,0.0,5.0,8.0,2.0,15.0
PRI,1.0,4.0,4.0,2.0,11.0
MC,0.0,2.0,0.0,0.0,2.0
PRD,0.0,1.0,1.0,0.0,2.0
PT,0.0,1.0,1.0,0.0,2.0
PVEM,0.0,0.0,1.0,1.0,2.0
Sin Partido,0.0,0.0,1.0,0.0,1.0
