inic_edo,nom_edo,Nombre,tipo_elec,FechaNacimiento,edo,ent,Partido
faem_zacatecas,fridaalejandraesparzamarquez_zacatecas,Frida Alejandra Esparza Marquez,Representacion proporcional,05/11/1996,Zacatecas,Circunscripcion:2,
fay_san luis potosi,frinneazuarayarzabal_san luis potosi,Frinne Azuara Yarzabal,Representacion proporcional,03/03/1956,San Luis Potosi,Circunscripcion:2,
gcb_ciudad de mexico,gabrielacuevasbarron_ciudad de mexico,Gabriela Cuevas Barron,Representacion proporcional,03/04/1979,Ciudad de Mexico,Circunscripcion:4,
gihv_jalisco,geraldinaisabelherreravega_jalisco,Geraldina Isabel Herrera Vega,Mayoria Relativa,24/04/1963,Jalisco,Distrito:10,
gfn_ciudad de mexico,gerardofernandeznorona_ciudad de mexico,Gerardo Fernandez Noroña,Mayoria Relativa,19/03/1960,Ciudad de Mexico,Distrito:4,
grl_hidalgo,gloriaromeroleon_hidalgo,Gloria Romero Leon,Representacion proporcional,25/01/1964,Hidalgo,Circunscripcion:5,
ghp_michoacan,gonzaloherreraperez_michoacan,Gonzalo Herrera Perez,Mayoria Relativa,07/07/1955,Michoacan,Distrito:7,
gso_mexico,gracielasanchezortiz_mexico,Graciela Sanchez Ortiz,Mayoria Relativa,18/02/1959,Mexico,Distrito:21,
gzs_oaxaca,gracielazavaletasanchez_oaxaca,Graciela Zavaleta Sanchez,Representacion proporcional,23/12/1946,Oaxaca,Circunscripcion:3,
geem_tabasco,gregorioefrainespadasmendez_tabasco,Gregorio Efrain Espadas Mendez,Mayoria Relativa,26/10/1948,Tabasco,Distrito:3,
grs_ciudad de mexico,guadaluperamossotelo_ciudad de mexico,Guadalupe Ramos Sotelo,Mayoria Relativa,01/02/1974,Ciudad de Mexico,Distrito:24,
grr_jalisco,guadaluperomoromo_jalisco,Guadalupe Romo Romo,Mayoria Relativa,22/03/1962,Jalisco,Distrito:3,
gcm_mexico,gustavocontrerasmontes_mexico,Gustavo Contreras Montes,Mayoria Relativa,11/06/1980,Mexico,Distrito:8,
hgdjjym_puebla,hectorguillermodejesusjimenezymeneses_puebla,Hector Guillermo de Jesus Jimenez y Meneses,Mayoria Relativa,24/11/1945,Puebla,Distrito:13,
hjvg_tamaulipas,hectorjoelvillegasgonzalez_tamaulipas,Hector Joel Villegas Gonzalez,Mayoria Relativa,09/05/1979,Tamaulipas,Distrito:3,
hrca_baja california,hectorrenecruzaparicio_baja california,Hector Rene Cruz Aparicio,Mayoria Relativa,27/12/1982,Baja California,Distrito:8,
hsc_ciudad de mexico,hectorserranocortes_ciudad de mexico,Hector Serrano Cortes,Representacion proporcional,22/04/1962,Ciudad de Mexico,Circunscripcion:4,
hyl_veracruz,hectoryuneslanda_veracruz,Hector Yunes Landa,Representacion proporcional,27/10/1958,Veracruz,Circunscripcion:3,
hmac_sonora,heribertomarceloaguilarcastillo_sonora,Heriberto Marcelo Aguilar Castillo,Mayoria Relativa,12/02/1975,Sonora,Distrito:4,
hsw_nuevo leon,hernansalinaswolberg_nuevo leon,Hernan Salinas Wolberg,Mayoria Relativa,01/04/1982,Nuevo Leon,Distrito:1,
hpon_durango,hildapatriciaorteganajera_durango,Hilda Patricia Ortega Najera,Mayoria Relativa,10/08/1966,Durango,Distrito:4,
hgm_sonora,hildelisagonzalezmorales_sonora,Hildelisa Gonzalez Morales,Mayoria Relativa,22/12/1956,Sonora,Distrito:7,
hmm_michoacan,hirepanmayamartinez_michoacan,Hirepan Maya Martinez,Representacion proporcional,02/12/1977,Michoacan,Circunscripcion:5,
hdo_mexico,horacioduarteolivares_mexico,Horacio Duarte Olivares,Representacion proporcional,05/11/1971,Mexico,Circunscripcion:5,
